Commence_Time,Home_Team,Away_Team,Bookmaker,Market,Team,Odds
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,FanDuel,Moneyline,Toronto Blue Jays,128
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,LowVig.ag,Moneyline,Texas Rangers,-150
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,LowVig.ag,Moneyline,Toronto Blue Jays,136
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetOnline.ag,Moneyline,Texas Rangers,-150
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetOnline.ag,Moneyline,Toronto Blue Jays,136
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,MyBookie.ag,Moneyline,Texas Rangers,-161
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,MyBookie.ag,Moneyline,Toronto Blue Jays,136
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetUS,Moneyline,Texas Rangers,-152
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetUS,Moneyline,Toronto Blue Jays,136
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,DraftKings,Moneyline,Texas Rangers,-162
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,DraftKings,Moneyline,Toronto Blue Jays,136
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetMGM,Moneyline,Texas Rangers,-160
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,BetMGM,Moneyline,Toronto Blue Jays,135
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,Bovada,Moneyline,Texas Rangers,-161
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,Bovada,Moneyline,Toronto Blue Jays,135
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,FanDuel,Moneyline,Chicago White Sox,240
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,FanDuel,Moneyline,New York Mets,-295
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetOnline.ag,Moneyline,Chicago White Sox,252
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetOnline.ag,Moneyline,New York Mets,-285
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,LowVig.ag,Moneyline,Chicago White Sox,252
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,LowVig.ag,Moneyline,New York Mets,-285
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,MyBookie.ag,Moneyline,Chicago White Sox,243
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,MyBookie.ag,Moneyline,New York Mets,-294
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,DraftKings,Moneyline,Chicago White Sox,240
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,DraftKings,Moneyline,New York Mets,-298
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetMGM,Moneyline,Chicago White Sox,240
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetMGM,Moneyline,New York Mets,-300
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,Bovada,Moneyline,Chicago White Sox,235
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,Bovada,Moneyline,New York Mets,-300
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetUS,Moneyline,Chicago White Sox,242
2025-05-26T20:11:00Z,New York Mets,Chicago White Sox,BetUS,Moneyline,New York Mets,-285
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,FanDuel,Moneyline,Cincinnati Reds,100
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,FanDuel,Moneyline,Kansas City Royals,-118
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,LowVig.ag,Moneyline,Cincinnati Reds,109
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,LowVig.ag,Moneyline,Kansas City Royals,-120
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetOnline.ag,Moneyline,Cincinnati Reds,109
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetOnline.ag,Moneyline,Kansas City Royals,-120
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetUS,Moneyline,Cincinnati Reds,109
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetUS,Moneyline,Kansas City Royals,-120
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,DraftKings,Moneyline,Cincinnati Reds,100
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,DraftKings,Moneyline,Kansas City Royals,-120
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,MyBookie.ag,Moneyline,Cincinnati Reds,100
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,MyBookie.ag,Moneyline,Kansas City Royals,-118
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetMGM,Moneyline,Cincinnati Reds,100
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,BetMGM,Moneyline,Kansas City Royals,-120
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,Bovada,Moneyline,Cincinnati Reds,104
2025-05-26T20:11:00Z,Kansas City Royals,Cincinnati Reds,Bovada,Moneyline,Kansas City Royals,-124
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,BetOnline.ag,Moneyline,Cleveland Guardians,158
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,BetOnline.ag,Moneyline,Los Angeles Dodgers,-175
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,LowVig.ag,Moneyline,Cleveland Guardians,158
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,LowVig.ag,Moneyline,Los Angeles Dodgers,-175
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,FanDuel,Moneyline,Cleveland Guardians,160
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,FanDuel,Moneyline,Los Angeles Dodgers,-190
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,DraftKings,Moneyline,Cleveland Guardians,154
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,DraftKings,Moneyline,Los Angeles Dodgers,-185
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,BetMGM,Moneyline,Cleveland Guardians,155
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,BetMGM,Moneyline,Los Angeles Dodgers,-190
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,FanDuel,Moneyline,Minnesota Twins,102
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,FanDuel,Moneyline,Tampa Bay Rays,-120
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,LowVig.ag,Moneyline,Minnesota Twins,109
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,LowVig.ag,Moneyline,Tampa Bay Rays,-120
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetOnline.ag,Moneyline,Minnesota Twins,109
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetOnline.ag,Moneyline,Tampa Bay Rays,-120
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetUS,Moneyline,Minnesota Twins,109
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetUS,Moneyline,Tampa Bay Rays,-120
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,MyBookie.ag,Moneyline,Minnesota Twins,103
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,MyBookie.ag,Moneyline,Tampa Bay Rays,-122
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,DraftKings,Moneyline,Minnesota Twins,102
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,DraftKings,Moneyline,Tampa Bay Rays,-122
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetMGM,Moneyline,Minnesota Twins,100
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,BetMGM,Moneyline,Tampa Bay Rays,-120
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,Bovada,Moneyline,Minnesota Twins,107
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,Bovada,Moneyline,Tampa Bay Rays,-128
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,FanDuel,Moneyline,Arizona Diamondbacks,-180
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,FanDuel,Moneyline,Pittsburgh Pirates,152
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,LowVig.ag,Moneyline,Arizona Diamondbacks,-172
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,LowVig.ag,Moneyline,Pittsburgh Pirates,155
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetOnline.ag,Moneyline,Arizona Diamondbacks,-172
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetOnline.ag,Moneyline,Pittsburgh Pirates,155
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,MyBookie.ag,Moneyline,Arizona Diamondbacks,-185
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,MyBookie.ag,Moneyline,Pittsburgh Pirates,149
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetUS,Moneyline,Arizona Diamondbacks,-172
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetUS,Moneyline,Pittsburgh Pirates,152
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,DraftKings,Moneyline,Arizona Diamondbacks,-180
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,DraftKings,Moneyline,Pittsburgh Pirates,150
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetMGM,Moneyline,Arizona Diamondbacks,-185
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,BetMGM,Moneyline,Pittsburgh Pirates,150
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,Bovada,Moneyline,Arizona Diamondbacks,-183
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,Bovada,Moneyline,Pittsburgh Pirates,151
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,BetOnline.ag,Moneyline,Los Angeles Angels,143
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,BetOnline.ag,Moneyline,New York Yankees,-158
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,LowVig.ag,Moneyline,Los Angeles Angels,143
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,LowVig.ag,Moneyline,New York Yankees,-158
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,FanDuel,Moneyline,Los Angeles Angels,138
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,FanDuel,Moneyline,New York Yankees,-164
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,MyBookie.ag,Moneyline,Los Angeles Angels,134
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,MyBookie.ag,Moneyline,New York Yankees,-164
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,DraftKings,Moneyline,Los Angeles Angels,136
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,DraftKings,Moneyline,New York Yankees,-162
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,BetMGM,Moneyline,Los Angeles Angels,135
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,BetMGM,Moneyline,New York Yankees,-160
